Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BATTERY-CONTACTS,1,18650 Lithium Cell,
LS1,SPEAKER,1,Speaker,
"R1, R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,330,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2K,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2K2,
SW1,PUSH-BUTTON-CONTACTS,1,UP,
SW2,PUSH-BUTTON-CONTACTS,1,DWN,
SW3,PUSH-BUTTON-CONTACTS,1,MODE,
SW4,PUSH-BUTTON-CONTACTS,1,TLK,
SW5,PUSH-BUTTON-CONTACTS,1,XTRA,
U1,BAT-C-10TYPEC-BMS,1,BAT-C-10TYPEC_(BMS),
U2,PSM-301-Voltage-Regulator,1,PSM-301-Voltage-Regulator-3.3V,
U3,PBS-LED-1606WH-L-Toggle-Switch,1,PBS-LED-1606WH-L_(Toggle_Button),
U4,I2S-128x64-OLED-LCD,1,I2C-128X64-OLED-LCD,
U5,I2SINMP441-MIC,1,I2S-INMP441_(MIC),
U6,Amplifier,1,MAX98357A,
U7,esp32_devkit_v1_doit,1,ESP-WROOM-32,
